chair_id, chair_number                        , chair_name              , chair_width, chair_height, chair_length, chair_material, chair_color, chair_weight, chair_packaging_weight, chair_manufacturer, chair_price, chair_release_date, chair_feet_material
1       , 621885d5-1798-4e51-b666-6b171bb26d68, Wine - Rosso Toscano Igt, 1.22       , 47.63       ,             , fabric        , Orange     , 92.9605     , 9.61                  , Zoomdog           , 958.31     , 11/14/2014        , wood
2       , 749a4356-458d-420a-b763-309bf22d6aec, "Beef - Tongue, Fresh"  , 99.78      , 9.97        ,             , metal         , Blue       , 188.5452    , 9.77                  , Digitube          , 217.24     , 10/2/2019         , wood
3       , c91c0a27-cff5-4d86-8f6d-1d31e53b9bee, Boogies                 , 22.27      , 43.01       ,             , metal         , Violet     , 111.2274    , 5.75                  , Feedspan          , 994.91     , 7/8/2017          , wood
4       , b48be35a-b635-47f1-8f55-159eae983d05, Beer - Blue             , 32.46      , 63.87       ,             , wood          , Red        , 105.7274    ,                       , Voolia            , 590.71     , 2/28/2010         , metal
5       , 8cd4d44b-d4eb-440e-a385-f48c494e852d, Cheese - Comtomme       , 63.12      , 33.16       ,             , crystal       , Fuscia     , 138.7383    , 8.38                  , Wikibox           , 293.02     , 6/24/2005         , wood
6       , 73e9b077-62c8-4d4a-bd7e-47e65fb2084d, Quail Eggs - Canned     , 17.19      , 3.53        ,             , metal         , Purple     , 108.6237    , 9.66                  , Yodo              , 389.83     , 2/24/2016         , metal
7       , e32a00ac-fe71-4cc9-ac2d-d10cafb68389, Tray - 16in Rnd Blk     , 7.25       , 49.35       ,             , wood          , Pink       , 28.1329     , 9.22                  , Edgewire          , 275.57     , 9/14/2000         , wood
8       , bcfbaf90-12a3-461d-bd8c-c243a203cf52, Pepperoni Slices        , 71.53      , 54.73       ,             , marble        , Pink       , 77.0291     , 7.03                  , Brightdog         , 382.76     , 6/14/2017         , metal
9       , 4d784ef4-4774-4459-a7b3-3e79abed8f53, Venison - Striploin     , 44.28      , 67.84       ,             , metal         , Violet     , 169.1673    , 5.54                  , Mudo              , 133.4      , 4/28/2012         , wood
10      , 5bdc920a-3a80-4deb-bf2d-3fd267b1a375, Chips - Doritos         , 1.59       , 87.03       ,             , marble        , Crimson    , 189.6342    , 5.4                   , Blogtags          , 969.88     , 8/27/2010         , metal
