product_id,product_number,product_name,product_width,product_length,product_material,product_color,product_weight,product_packaging_weight,product_manufacturer,product_price,product_release_date
1,60ddb7c5-9725-4ce9-8a52-8b31254f797c,Soup - Verve - Chipotle Chicken,25.23,59.55,wood,Blue,17.2427,7.85,Ailane,725.53,7/4/2000
2,9cde79b6-7ef4-4e9b-8c98-e11a20e103d7,Bread - Rye,1.9,92.52,plastic,Green,94.9013,6.83,Quinu,92.94,2/25/2021
3,459a68b4-705b-4d86-a45a-e6098c55442e,"Napkin - Cocktail,beige 2 - Ply",68.17,72.83,crystal,Goldenrod,40.172,7.87,Tazzy,272.76,11/9/2019
4,7cc657a2-7968-4f2d-9889-837e8f315db0,Pastry - Raisin Muffin - Mini,35.42,85.1,sand,Purple,147.5116,5.12,Camido,942.09,11/20/2003
5,ebabed8b-ebd0-49c3-9236-4b7dca5582bb,Beef Ground Medium,13.12,85.69,stone,Mauv,87.7092,7.82,Thoughtbeat,207.45,6/18/2006
6,0a38b691-dd64-4820-a256-90d94faebf2c,Flower - Daisies,93.05,51.47,glass,Yellow,165.8979,8.24,Photospace,280.07,11/23/2010
7,bfd2e5be-74c2-4c8d-bccc-bd628f47867d,Longos - Grilled Salmon With Bbq,62.59,29.35,crystal,Blue,16.7947,6.29,Jatri,569.01,10/13/2003
8,584738de-9a4e-4375-895a-7ff5ff0175ec,Bread - 10 Grain,94.19,61.07,sand,Orange,29.2238,6.03,Quatz,496.01,5/15/2003
9,f8bd51aa-a3f1-41cc-a8cf-c0faf8ebb4ad,Beef - Prime Rib Aaa,5.15,68.22,marble,Khaki,44.9267,8.66,Quatz,470.16,7/7/2019
10,11da1ecf-fd92-47c3-aa5f-7daa887b1af3,Egg Patty Fried,80.7,97.68,metal,Teal,64.6837,5.86,Dynabox,406.22,9/30/2021
11,2466e718-7e98-460d-b410-d4251a2088bb,Containter - 3oz Microwave Rect.,67.63,46.31,wood,Purple,123.833,6.23,Gigashots,669.89,5/28/2021
12,e533edfc-e8f7-409a-9bce-1ee8daa30b05,"Beef - Rouladin, Sliced",36.78,33.69,marble,Orange,188.1638,6.68,Topicblab,306.03,12/18/2019
13,9a35d71f-2093-49be-86f3-85e6bf512429,Bagels Poppyseed,17.7,86.65,fabric,Khaki,85.2485,7.09,Leenti,486.39,11/30/2001
14,adef34c4-de2f-4851-8b78-722c920b0860,Sugar - Monocystal / Rock,69.69,93.99,marble,Green,47.9219,9.95,Katz,425.11,3/23/2003
15,a77a90e4-3a37-47ef-b1e8-e39def1e8357,Fiddlehead - Frozen,85.79,26.75,marble,Blue,169.2179,7.42,Thoughtstorm,227.41,11/3/2013
16,264a8fcb-1841-482c-b655-1b257af4a4e9,Garlic Powder,89.2,85.67,marble,Fuscia,94.3901,6.75,Skinix,799.18,2/1/2009
17,6e9270f9-1282-4553-bbba-5e908f983ee6,Versatainer Nc - 888,17.14,65.63,glass,Teal,173.937,5.8,Dynabox,255.32,2/1/2016
18,b94f990d-b1c9-4af5-bdd9-4759c5609db2,Shichimi Togarashi Peppeers,88.33,38.47,sand,Goldenrod,147.2459,9.88,Fanoodle,187.46,6/19/2022
19,3751295b-c041-4a8b-a20f-ebd01efbd662,"Pail - 15l White, With Handle",49.57,14.37,marble,Violet,179.8438,8.37,Chatterbridge,755.86,6/2/2005
20,c490af89-989f-4e7b-a980-50aac13bdeb5,Energy Drink,38.08,55.53,sand,Green,22.5257,9.4,Gigaclub,952.88,7/12/2019
21,a6bb3bde-135a-45a1-a8d8-816711b27a8e,Wine - Montecillo Rioja Crianza,27.68,43.34,plastic,Pink,183.8893,5.29,Devbug,244.45,2/3/2000
22,aa7370dd-af17-4c55-bc07-aefbdc9d56fa,Pate Pans Yellow,66.8,60.4,stone,Mauv,85.0163,7.95,Twitterworks,672.43,2/3/2001
23,8d0d8597-9b8f-44de-b5d9-3b1396ea5276,Jam - Apricot,94.6,10.5,stone,Turquoise,107.3511,8.25,Myworks,353.74,2/27/2016
24,5f63ae83-1807-4ff6-8559-57b74e8b92ea,"Bread - Bagels, Mini",13.26,38.48,sand,Orange,80.8404,6.57,Tazzy,852.31,3/20/2003
25,4b94165a-ef83-42a4-b9f9-0f953afca411,Beer - Blue,81.39,36.45,marble,Crimson,43.9751,9.89,Buzzdog,547.16,1/11/2015
26,4d7cb178-37a5-4c96-bb48-4a727efff232,Sultanas,97.54,29.51,metal,Crimson,133.5409,7.99,Skimia,52.38,6/4/2008
27,b163011b-ab41-4298-a325-45c4347fe5eb,"Ham - Smoked, Bone - In",33.1,66.65,stone,Pink,197.6432,6.06,Flashspan,774.47,5/23/2002
28,c25f7fd7-e716-4a71-b8ac-4ddb1d89d58f,"Flour - Corn, Fine",35.73,82.47,glass,Turquoise,79.0373,5.4,Aivee,402.66,11/20/2018
29,d59716fd-9b84-4079-bbbf-7eab510b3f25,Beef Cheek Fresh,39.07,15.39,wood,Indigo,81.0828,8.93,Riffpath,285.3,10/4/2017
30,93f068c3-0f81-444c-9f2e-b60f1ffb33e0,Appetizer - Smoked Salmon / Dill,33.95,22.58,crystal,Red,69.9019,,Realcube,670.53,12/13/2016
31,8160a138-d619-48c7-aa07-59d377a6fe83,Wiberg Super Cure,78.35,30.48,glass,Indigo,174.1718,9.03,Jabbertype,106.7,10/28/2021
32,5b0d933e-6b67-400c-bb62-226c9f516923,"Sauce - Soya, Light",88.57,36.9,crystal,Red,123.8333,5.55,Zoomdog,421.15,4/21/2003
33,ded62f74-b49e-4bdd-aa93-5cd9c9fcd067,Bread Country Roll,2.65,78.0,stone,Crimson,163.8321,8.11,Wikivu,648.99,7/4/2008
34,21a5f52d-c743-41e8-8c7d-cd99d4682fb6,Vinegar - White,63.81,45.9,glass,Goldenrod,54.782,8.34,Jabbercube,845.44,3/16/2005
35,c853a13a-8323-46cd-aadc-f21ce8e9e3c2,"Halibut - Whole, Fresh",97.64,64.09,stone,Goldenrod,61.8723,6.06,Oyope,445.35,7/11/2009
36,a287f1a1-beed-4941-957f-0da1297c9992,"Brownies - Two Bite, Chocolate",1.94,33.33,crystal,Green,98.7205,7.46,Dynazzy,424.11,4/20/2000
37,58e0e3a6-09ba-4bc7-af20-c9d69d89fd4e,Hold Up Tool Storage Rack,78.76,85.52,wood,Puce,139.1722,9.01,Livefish,57.11,8/24/2005
38,7d75da07-76c7-4141-8752-f285c3f7f9c4,Sauce - Vodka Blush,66.08,97.12,stone,Puce,130.8447,5.74,Skidoo,466.58,1/12/2006
39,249f020c-812c-4555-8101-e6abea5fdecf,Energy Drink - Franks Original,68.31,79.94,metal,Green,64.8099,7.95,Pixope,277.55,5/28/2012
40,560b92ef-0dfb-4b63-a307-92f4840c98d1,"Coconut - Shredded, Unsweet",3.32,34.86,fabric,Fuscia,21.8119,7.04,Divanoodle,631.24,5/13/2015
41,24182c37-4950-41b3-9013-53bd5de092e0,Dried Peach,84.68,80.65,stone,Red,120.5982,,Rhyloo,31.92,11/23/2008
42,aa57baac-c7a6-4a12-9ab8-dcc221fbd580,Instant Coffee,31.77,9.64,sand,Maroon,105.8003,7.56,Quatz,260.44,11/16/2020
43,ddd6caeb-1a8d-4158-abac-8263c107cf3d,Steam Pan Full Lid,92.9,44.51,marble,Khaki,16.3192,8.19,Voonix,436.12,4/29/2014
44,f0a2f527-e69d-4c65-bc2b-68fe69dd7752,Bols Melon Liqueur,49.84,2.73,glass,Pink,65.1152,6.46,Tagopia,282.34,3/23/2016
45,96e613e3-98ed-434b-8ffa-a36e335290d7,Parsley - Dried,15.27,72.66,plastic,Orange,175.0732,5.93,Photojam,184.23,8/1/2010
46,452e1e08-41fd-4735-8c1b-2de84a3c5b54,Cream - 10%,74.7,81.55,crystal,Orange,40.3945,6.16,Zoonoodle,147.74,7/17/2010
47,e4d7a7fe-25f5-4c0b-8a49-a6ccc186df03,Sauce - Plum,27.72,95.8,sand,Maroon,165.4411,8.34,Jaloo,340.88,10/14/2017
48,c0229801-ff4d-417a-b389-ec2ecddd5d2c,"Tart Shells - Barquettes, Savory",19.82,25.97,plastic,Khaki,144.9191,5.12,Zazio,188.53,1/12/2018
49,c9eb1134-9ef4-46a0-99fa-83f41fd0996f,Oil - Shortening - All - Purpose,67.5,50.56,glass,Mauv,19.009,8.61,Twitterworks,465.2,1/23/2004
50,a247b93e-6d5e-400d-8edf-389f92f4af6d,Cheese - Mozzarella,79.68,68.52,crystal,Orange,178.3749,6.87,Youspan,492.34,4/3/2013
51,1eb4ba49-cfd5-4440-a8fb-922fa2e1be2b,Cheese - Brick With Onion,8.39,22.56,crystal,Purple,59.7559,7.87,Voolith,709.67,12/8/2016
52,22f1c171-8abd-42c8-8508-09e36f325447,Veal - Knuckle,87.46,55.84,sand,Goldenrod,48.4041,6.45,Oyondu,170.56,9/7/2012
53,f468dad0-9848-45f6-b705-673a0ed6caf9,Capicola - Hot,17.19,89.25,sand,Green,54.4873,9.55,Wikizz,916.4,1/13/2001
54,0075c63b-a5a6-47fb-aaba-674ab6812ee8,"Soup - Campbells, Chix Gumbo",86.73,27.8,metal,Orange,180.3159,8.53,Tambee,781.75,1/27/2020
55,6c1c6440-4883-470a-bc7e-99e29c7fcf91,Silicone Parch. 16.3x24.3,17.35,91.94,wood,Puce,75.6166,7.09,Yakitri,839.13,7/8/2015
56,f7e7b5ee-b40e-4e03-a6e1-1e3845faaf83,Milk - Condensed,14.64,26.4,stone,Maroon,79.8437,7.43,Flipstorm,639.35,1/29/2009
57,2ab462db-42c0-4e0e-9347-d8eb6121f1be,Rosemary - Dry,41.06,35.52,glass,Fuscia,12.3877,7.95,Fatz,714.51,4/26/2022
58,68b47064-cce2-4f68-bb2b-a20435ce92df,Peach - Halves,40.64,58.22,sand,Pink,181.3419,9.97,Wikibox,391.43,6/29/2003
59,9881687c-e8ab-4272-8261-e6155c5df8a9,Pork - Belly Fresh,39.56,34.5,glass,Fuscia,115.7502,8.23,Voomm,726.47,3/29/2004
60,5ebf836f-5373-46cd-bd3b-9f929cf8e737,"Tortillas - Flour, 8",24.78,44.98,marble,Mauv,122.5048,9.14,Fivechat,273.52,12/23/2000
61,103679d3-4076-4cef-839a-abc730f32a39,Cranberries - Frozen,97.4,24.06,sand,Teal,24.0164,,Zooveo,63.26,1/21/2017
62,494ded3d-799c-4ed9-8e9e-90cf28330782,Juice - Orangina,20.92,29.69,crystal,Pink,73.7767,9.71,Aimbo,314.01,8/5/2015
63,fd747347-edb8-4d41-9151-d27962203e8a,Sprouts - Brussel,38.17,94.25,plastic,Mauv,53.491,7.87,Tagfeed,442.02,1/9/2014
64,5d8881fa-774d-45d3-95dc-d4579eff432b,Wine - Chateau Timberlay,41.77,9.71,crystal,Red,63.4451,7.72,Cogilith,554.97,7/25/2013
65,b99dd357-b70d-4ce2-a8a7-ef1c07c8288b,Carbonated Water - Raspberry,89.99,60.5,stone,Aquamarine,96.4272,7.87,Dabtype,623.39,1/28/2022
66,05eeb42a-d861-49ce-b388-6fd7c0573418,Beer - Fruli,52.98,84.53,metal,Indigo,112.433,5.25,Kaymbo,141.08,9/27/2017
67,8f4e1914-5b48-43de-82bf-f4c6455c42f9,Food Colouring - Orange,70.41,82.84,marble,Orange,119.7677,9.69,Kaymbo,526.98,10/3/2000
68,cdf20b77-bc22-4371-8ee7-55d9812ac77b,"Artichoke - Hearts, Canned",90.25,86.91,fabric,Purple,51.8231,8.61,Skippad,694.97,8/8/2011
69,6185f605-74b3-4489-9648-f28e260741a6,Bread - Raisin Walnut Oval,16.94,51.0,wood,Indigo,102.9221,8.44,Gabcube,599.4,12/21/2021
70,285423d6-3779-44ed-b9cf-ce281d5d9dda,"Beef - Chuck, Boneless",45.21,65.83,stone,Violet,103.615,9.7,Flashspan,714.98,3/21/2015
71,db6fe46d-d18d-46aa-8405-3a43e3a91223,"Bag - Bread, White, Plain",71.66,39.68,fabric,Khaki,158.1115,5.46,Skynoodle,749.83,12/19/2002
72,0f254779-5524-42fa-bf09-de253bbe4904,Table Cloth 62x120 Colour,57.16,31.73,metal,Puce,123.8118,5.75,Reallinks,704.34,10/26/2008
73,9b49272d-948b-4a6c-8ec1-06efab19d327,Scallop - St. Jaques,73.81,70.89,fabric,Khaki,163.7053,6.04,Meevee,253.7,10/10/2019
74,7c07dc40-6d35-4247-b2e8-f373cb0f531d,"Wine - Red, Antinori Santa",32.42,50.69,stone,Maroon,86.0106,9.2,Aivee,624.77,10/7/2013
75,6b97c85c-13d1-4e8b-b5f3-8e7f9a5a2658,Juice - Propel Sport,71.88,23.6,fabric,Teal,37.4842,7.05,Twitterwire,689.77,12/26/2003
76,3d6e38a5-7e9b-4fa5-b134-f2aa526f3065,Scallops 60/80 Iqf,75.55,62.85,crystal,Turquoise,69.3348,6.65,Devpulse,738.59,4/5/2011
77,305d4db2-4406-4554-af8e-479fd8051c35,Apple - Custard,23.58,58.75,plastic,Blue,80.2667,8.22,Gabspot,362.15,11/2/2005
78,eaa24024-993a-41ab-8529-4ebb662d62c5,Clementine,98.12,80.08,glass,Yellow,152.8495,6.45,Demizz,723.25,9/29/2019
79,8321c930-031f-4a8b-8385-cf8ebdb595d6,"Napkin - Dinner, White",99.93,22.57,plastic,Pink,76.506,6.85,Skyble,428.96,5/4/2015
80,5c057ddf-e8a5-45da-b667-ddcc95e359c0,Trueblue - Blueberry,39.13,47.83,wood,Mauv,134.1638,6.19,Topicstorm,16.79,8/23/2000
